seed_idx,seed_alpha0_dec,seed_beta0_dec,seed_alpha0_hex,seed_beta0_hex,alpha0,beta0,alphaR,betaR,alpha0_hex,beta0_hex,alphaR_hex,betaR_hex,cw_total
156,21357,29079,0x536d,0x7197,,,,,,,,,inf
155,23119,29240,0x5a4f,0x7238,,,,,,,,,inf
154,22096,4485,0x5650,0x1185,,,,,,,,,inf
153,8892,12156,0x22bc,0x2f7c,,,,,,,,,inf
152,63481,41796,0xf7f9,0xa344,,,,,,,,,inf
151,40051,3971,0x9c73,0xf83,,,,,,,,,inf
150,57921,13737,0xe241,0x35a9,,,,,,,,,inf
149,58177,20260,0xe341,0x4f24,,,,,,,,,inf
148,31373,54031,0x7a8d,0xd30f,,,,,,,,,inf
147,63233,18924,0xf701,0x49ec,,,,,,,,,inf
146,65260,7031,0xfeec,0x1b77,,,,,,,,,inf
145,24983,57538,0x6197,0xe0c2,,,,,,,,,inf
144,18028,32018,0x466c,0x7d12,,,,,,,,,inf
175,27004,22474,0x697c,0x57ca,,,,,,,,,inf
174,46879,23149,0xb71f,0x5a6d,,,,,,,,,inf
173,9239,13601,0x2417,0x3521,,,,,,,,,inf
172,27811,40130,0x6ca3,0x9cc2,,,,,,,,,inf
171,43134,21288,0xa87e,0x5328,,,,,,,,,inf
170,59492,63358,0xe864,0xf77e,,,,,,,,,inf
169,14654,34263,0x393e,0x85d7,,,,,,,,,inf
168,38205,6668,0x953d,0x1a0c,,,,,,,,,inf
167,33488,61556,0x82d0,0xf074,,,,,,,,,inf
166,6653,36541,0x19fd,0x8ebd,,,,,,,,,inf
165,7590,28646,0x1da6,0x6fe6,,,,,,,,,inf
164,50805,9030,0xc675,0x2346,,,,,,,,,inf
163,11164,6941,0x2b9c,0x1b1d,,,,,,,,,inf
162,8340,50279,0x2094,0xc467,,,,,,,,,inf
161,57810,41063,0xe1d2,0xa067,,,,,,,,,inf
160,10874,52691,0x2a7a,0xcdd3,,,,,,,,,inf
191,40990,65162,0xa01e,0xfe8a,,,,,,,,,inf
190,2884,29051,0xb44,0x717b,,,,,,,,,inf
189,145,53567,0x91,0xd13f,,,,,,,,,inf
188,50077,55057,0xc39d,0xd711,,,,,,,,,inf
187,64728,47629,0xfcd8,0xba0d,,,,,,,,,inf
186,20973,32030,0x51ed,0x7d1e,,,,,,,,,inf
185,39386,63955,0x99da,0xf9d3,,,,,,,,,inf
184,28897,681,0x70e1,0x2a9,,,,,,,,,inf
183,37867,25462,0x93eb,0x6376,,,,,,,,,inf
182,162,48801,0xa2,0xbea1,,,,,,,,,inf
181,42405,29143,0xa5a5,0x71d7,,,,,,,,,inf
180,55961,64672,0xda99,0xfca0,,,,,,,,,inf
179,24374,11248,0x5f36,0x2bf0,,,,,,,,,inf
178,7127,45060,0x1bd7,0xb004,,,,,,,,,inf
177,57265,63382,0xdfb1,0xf796,,,,,,,,,inf
176,60358,22576,0xebc6,0x5830,,,,,,,,,inf
207,56160,17550,0xdb60,0x448e,,,,,,,,,inf
206,38123,63613,0x94eb,0xf87d,,,,,,,,,inf
205,38254,20955,0x956e,0x51db,,,,,,,,,inf
204,9080,42222,0x2378,0xa4ee,,,,,,,,,inf
203,12925,19389,0x327d,0x4bbd,,,,,,,,,inf
202,30676,48932,0x77d4,0xbf24,,,,,,,,,inf
201,16596,22392,0x40d4,0x5778,,,,,,,,,inf
200,7640,30446,0x1dd8,0x76ee,,,,,,,,,inf
199,46646,34474,0xb636,0x86aa,,,,,,,,,inf
198,2749,28381,0xabd,0x6edd,,,,,,,,,inf
197,1232,40140,0x4d0,0x9ccc,,,,,,,,,inf
196,58895,17906,0xe60f,0x45f2,,,,,,,,,inf
195,35123,60572,0x8933,0xec9c,,,,,,,,,inf
194,405,30898,0x195,0x78b2,,,,,,,,,inf
193,47294,18988,0xb8be,0x4a2c,,,,,,,,,inf
192,62241,18214,0xf321,0x4726,,,,,,,,,inf
223,56365,7364,0xdc2d,0x1cc4,,,,,,,,,inf
222,3541,21423,0xdd5,0x53af,,,,,,,,,inf
221,21677,59541,0x54ad,0xe895,,,,,,,,,inf
220,13107,20131,0x3333,0x4ea3,,,,,,,,,inf
219,29912,45149,0x74d8,0xb05d,,,,,,,,,inf
218,18465,13739,0x4821,0x35ab,,,,,,,,,inf
217,3715,19026,0xe83,0x4a52,,,,,,,,,inf
216,42257,17598,0xa511,0x44be,,,,,,,,,inf
215,34427,44627,0x867b,0xae53,,,,,,,,,inf
214,47256,26246,0xb898,0x6686,,,,,,,,,inf
213,60112,28267,0xead0,0x6e6b,,,,,,,,,inf
212,58082,54383,0xe2e2,0xd46f,,,,,,,,,inf
211,7954,25375,0x1f12,0x631f,,,,,,,,,inf
210,16657,5334,0x4111,0x14d6,,,,,,,,,inf
209,2091,21965,0x82b,0x55cd,,,,,,,,,inf
208,7838,38327,0x1e9e,0x95b7,,,,,,,,,inf
239,20351,43838,0x4f7f,0xab3e,,,,,,,,,inf
238,6854,11463,0x1ac6,0x2cc7,,,,,,,,,inf
237,6159,59313,0x180f,0xe7b1,,,,,,,,,inf
236,3438,31209,0xd6e,0x79e9,,,,,,,,,inf
235,43250,53022,0xa8f2,0xcf1e,,,,,,,,,inf
234,37290,19629,0x91aa,0x4cad,,,,,,,,,inf
233,20268,41911,0x4f2c,0xa3b7,,,,,,,,,inf
232,31611,3810,0x7b7b,0xee2,,,,,,,,,inf
231,28058,40793,0x6d9a,0x9f59,,,,,,,,,inf
230,16339,49755,0x3fd3,0xc25b,,,,,,,,,inf
229,55172,48032,0xd784,0xbba0,,,,,,,,,inf
228,56477,58625,0xdc9d,0xe501,,,,,,,,,inf
227,20501,57431,0x5015,0xe057,,,,,,,,,inf
226,27754,40204,0x6c6a,0x9d0c,,,,,,,,,inf
225,57475,36285,0xe083,0x8dbd,,,,,,,,,inf
224,41018,41931,0xa03a,0xa3cb,,,,,,,,,inf
255,37299,47675,0x91b3,0xba3b,,,,,,,,,inf
254,10342,24682,0x2866,0x606a,,,,,,,,,inf
253,2878,9420,0xb3e,0x24cc,,,,,,,,,inf
252,40118,3815,0x9cb6,0xee7,,,,,,,,,inf
251,25069,64305,0x61ed,0xfb31,,,,,,,,,inf
